corp_id,corp_name,schl_id,schl_name,sc_prof_pct
1970,Muncie Community Schools,1437,Southside Middle School,0.107
1970,Muncie Community Schools,1470,Grissom Elementary School,0.158
1970,Muncie Community Schools,1482,South View Elementary School,0.025
1970,Muncie Community Schools,1485,Longfellow Elementary School,0.06
1970,Muncie Community Schools,1496,North View Elementary School,0.309
1970,Muncie Community Schools,1500,Muncie Virtual Academy,NA
1970,Muncie Community Schools,1513,East Washington Academy,0.5
1970,Muncie Community Schools,1517,West View Elementary School,0.262
1970,Muncie Community Schools,1524,Youth Opportunity Center,NA
2040,Northeast Dubois Co Sch Corp,1549,Northeast Dubois Intermediate School,0.586
2100,Southeast Dubois Co Sch Corp,1563,Pine Ridge Elementary School,0.478
2100,Southeast Dubois Co Sch Corp,1581,Ferdinand Elementary School,0.534
2100,Southeast Dubois Co Sch Corp,1586,Cedar Crest Intermediate School,0.729
2110,Southwest Dubois Co Sch Corp,1529,Holland Elementary School,0.417
2110,Southwest Dubois Co Sch Corp,1587,Southridge Middle School,0.376
2110,Southwest Dubois Co Sch Corp,1590,Huntingburg Elementary School,0.323
2120,Greater Jasper Consolidated Schs,1569,Ireland Elementary School,0.642
2120,Greater Jasper Consolidated Schs,1575,Jasper Middle School,0.413
2120,Greater Jasper Consolidated Schs,1601,Jasper Elementary School,0.534
2155,Fairfield Community Schools,1621,Millersburg Elementary- Middle Sch,0.374
2155,Fairfield Community Schools,1649,New Paris Elementary School,0.423
2155,Fairfield Community Schools,1652,Benton Elementary School,0.496
2260,Baugo Community Schools,1707,Jimtown Intermediate School,0.449
2270,Concord Community Schools,1718,Concord Intermediate School,0.224
2270,Concord Community Schools,1721,Concord East Side Elementary Sch,0.265
2270,Concord Community Schools,1723,Concord Ox Bow Elementary School,0.174
2270,Concord Community Schools,1725,Concord South Side Elementary Sch,0.125
2270,Concord Community Schools,1729,Concord West Side Elem School,0.095
2275,Middlebury Community Schools,1657,Northridge Middle School,0.416
2275,Middlebury Community Schools,1731,Heritage Intermediate School,0.354
2285,Wa-Nee Community Schools,1669,North Wood Middle School,0.573
2285,Wa-Nee Community Schools,1735,Wakarusa Elementary School,0.511
2285,Wa-Nee Community Schools,1743,Nappanee Elementary School,0.431
2285,Wa-Nee Community Schools,1747,Woodview Elementary School,0.384
2305,Elkhart Community Schools,1617,Cleveland Elementary School,0.127
2305,Elkhart Community Schools,1673,Osolo Elementary School,0.193
2305,Elkhart Community Schools,1679,Eastwood Elementary School,0.254
2305,Elkhart Community Schools,1681,Mary Feeser Elementary School,0.151
2305,Elkhart Community Schools,1693,Bristol Elementary School,0.114
2305,Elkhart Community Schools,1752,Elkhart Alternative Education,0
2305,Elkhart Community Schools,1765,Beardsley Elementary School,0.084
2305,Elkhart Community Schools,1769,Mary Beck Elementary School,0.01
2305,Elkhart Community Schools,1773,Mary Daly Elementary School,0.111
2305,Elkhart Community Schools,1785,Pinewood Elementary School,0.22
2305,Elkhart Community Schools,1789,Monger Elementary School,0.205
2305,Elkhart Community Schools,1797,Riverview Elementary School,0.255
2305,Elkhart Community Schools,1801,Roosevelt STEAM Academy,0.21
2305,Elkhart Community Schools,1817,Woodland Elementary School,0.118
2315,Goshen Community Schools,1633,Model Elementary School,0.24
2315,Goshen Community Schools,1641,Waterford Elementary School,0.293
2315,Goshen Community Schools,1829,Chamberlain Elementary School,0.431
2315,Goshen Community Schools,1833,Chandler Elementary School,0.061
2315,Goshen Community Schools,1843,Parkside Elementary School,0.4
2315,Goshen Community Schools,1847,Prairie View Elementary School,0.136
2315,Goshen Community Schools,1849,West Goshen Elementary School,0.213
2315,Goshen Community Schools,2318,Goshen Intermediate School,0.233
2395,Fayette County School Corporation,1869,Everton Elementary School,0.324
2395,Fayette County School Corporation,1897,Eastview Elementary School,0.305
2395,Fayette County School Corporation,1909,Frazee Elementary School,0.333
2395,Fayette County School Corporation,1913,Grandview Elementary School,0.253
2395,Fayette County School Corporation,1921,Fayette Central Elementary,0.589
2400,New Albany-Floyd Co Con Sch,1929,Georgetown Elementary School,0.465
2400,New Albany-Floyd Co Con Sch,1931,Highland Hills Middle School,0.507
2400,New Albany-Floyd Co Con Sch,1933,Hazelwood Middle School,0.282
2400,New Albany-Floyd Co Con Sch,1937,Nathaniel Scribner Middle School,0.276
2400,New Albany-Floyd Co Con Sch,1943,Slate Run Elementary School,0.347
2400,New Albany-Floyd Co Con Sch,1949,Fairmont Elementary School,0.268
2400,New Albany-Floyd Co Con Sch,1953,Greenville Elementary School,0.698
2400,New Albany-Floyd Co Con Sch,1957,Grant Line Elementary School,0.483
2400,New Albany-Floyd Co Con Sch,1961,Green Valley Elementary School,0.171
2400,New Albany-Floyd Co Con Sch,1966,Floyds Knobs Elementary School,0.565
2400,New Albany-Floyd Co Con Sch,1974,Mount Tabor Elementary School,0.256
2400,New Albany-Floyd Co Con Sch,1981,S Ellen Jones Elementary School,0.286
2435,Attica Consolidated School Corp,2053,Attica High School,0.167
2435,Attica Consolidated School Corp,2057,Attica Elementary School,0.359
2440,Covington Community School Corp,2009,Covington Elementary School,0.48
2440,Covington Community School Corp,2013,Covington Middle School,0.315
2455,Southeast Fountain School Corp,2021,Southeast Fountain Elementary,0.291
2455,Southeast Fountain School Corp,2022,Fountain Central High School,0.282
2475,Franklin County Community Sch Corp,2082,Laurel School,0.419
2475,Franklin County Community Sch Corp,2123,Franklin County Middle School,0.326
2475,Franklin County Community Sch Corp,2125,Brookville Elementary School,0.4
2475,Franklin County Community Sch Corp,2127,Mount Carmel School,0.37
2645,Rochester Community School Corp,2177,Rochester Community Middle School,0.312
2645,Rochester Community School Corp,2185,George M Riddle Elementary School,0.226
2650,Caston School Corporation,2157,Caston Elementary School,0.478
2650,Caston School Corporation,2159,Caston Jr-Sr High School,0.403
2725,East Gibson School Corporation,2189,Barton Township Elementary,0.636
2725,East Gibson School Corporation,2201,Francisco Elementary School,0.333
2725,East Gibson School Corporation,2237,Oakland City Elementary School,0.194
2735,North Gibson School Corporation,2223,Princeton Comm Intermediate School,0.234
2735,North Gibson School Corporation,2225,Princeton Community Middle,0.317
2765,South Gibson School Corporation,2205,Haubstadt Community School,0.615
2765,South Gibson School Corporation,2214,Fort Branch Community School,0.454
2765,South Gibson School Corporation,2241,Owensville Community School,0.53
2815,Eastbrook Community Sch Corp,2263,Eastbrook South Elementary,0.328
2815,Eastbrook Community Sch Corp,2264,Eastbrook North Elementary,0.245
2815,Eastbrook Community Sch Corp,2299,Eastbrook Middle School,0.412
2825,Madison-Grant United School Corp,2329,Park Elementary School,0.333
2825,Madison-Grant United School Corp,2834,Virtual Preparatory Academy of Indiana at Madison-Grant K-5,0.026
2825,Madison-Grant United School Corp,2836,Virtual Preparatory Academy of Indiana at Madison-Grant 6-8,0.095
2855,Mississinewa Community School Corp,2335,R J Baskett Middle School,0.189
2855,Mississinewa Community School Corp,2346,Northview Elementary School,0.29
2865,Marion Community Schools,2350,Justice Thurgood Marshall Intrmd,0.195
2865,Marion Community Schools,2369,Allen Elementary School,0.169
2865,Marion Community Schools,2393,John W Kendall Elem School,0.183
2865,Marion Community Schools,2405,Riverview Elementary School,0.187
2865,Marion Community Schools,2409,Frances Slocum Elem School,0.072
2920,Bloomfield School District,2417,Bloomfield Elementary School,0.429
2920,Bloomfield School District,2421,Bloomfield Middle School,0.377
2940,Eastern Greene Schools,2433,Eastern Greene Elementary School,0.312
2940,Eastern Greene Schools,2436,Eastern Greene Middle School,0.418
2950,Linton-Stockton School Corporation,2438,Linton-Stockton Middle School,0.465
2950,Linton-Stockton School Corporation,2441,Linton-Stockton Elementary,0.43
2960,MSD Shakamak Schools,2449,Shakamak Elementary School,0.341
2980,White River Valley School District,2457,White River Valley Middle School,0.377
2980,White River Valley School District,2460,White River Valley Elementary Sch,0.571
3005,Hamilton Southeastern Schools,2464,Deer Creek Elementary,0.396
3005,Hamilton Southeastern Schools,2466,Brooks School Elementary,0.664
3005,Hamilton Southeastern Schools,2468,New Britton Elementary School,0.582
3005,Hamilton Southeastern Schools,2469,Fishers Elementary School,0.482
3005,Hamilton Southeastern Schools,2470,Cumberland Road Elem School,0.544
3005,Hamilton Southeastern Schools,2471,Hoosier Road Elementary School,0.548
3005,Hamilton Southeastern Schools,2473,Fall Creek Elementary School,0.633
3005,Hamilton Southeastern Schools,2474,Geist Elementary School,0.698
3005,Hamilton Southeastern Schools,2475,Lantern Road Elementary School,0.543
3005,Hamilton Southeastern Schools,2479,Sand Creek Intermediate School,0.555
3005,Hamilton Southeastern Schools,2481,Harrison Parkway Elementary School,0.487
3005,Hamilton Southeastern Schools,2482,Sand Creek Elementary,0.479
3005,Hamilton Southeastern Schools,2483,Thorpe Creek Elementary,0.655
3005,Hamilton Southeastern Schools,2484,Southeastern Elementary School,0.559
3005,Hamilton Southeastern Schools,2485,Fall Creek Intermediate School,0.642
3005,Hamilton Southeastern Schools,2489,Hamilton SE Int and Jr High Sch,0.63
3005,Hamilton Southeastern Schools,2500,Riverside Intermediate School,0.635
3025,Hamilton Heights School Corp,2478,Hamilton Heights Elementary School,0.428
3025,Hamilton Heights School Corp,2501,Hamilton Heights Middle School,0.507
3030,Westfield-Washington Schools,2492,Shamrock Springs Elementary School,0.556
3030,Westfield-Washington Schools,2494,Carey Ridge Elementary School,0.638
3030,Westfield-Washington Schools,2495,Washington Woods Elementary School,0.6
3030,Westfield-Washington Schools,2496,Oak Trace Elementary School,0.802
3030,Westfield-Washington Schools,2498,Monon Trail Elementary School,0.448
3030,Westfield-Washington Schools,2503,Westfield Intermediate School,0.604
3030,Westfield-Washington Schools,2504,Maple Glen Elementary,0.558
3055,Sheridan Community Schools,2465,Sheridan Elementary School,0.462
3055,Sheridan Community Schools,6780,Sheridan Middle School,0.478
3060,Carmel Clay Schools,2506,Clay Middle School,0.623
3060,Carmel Clay Schools,2507,Woodbrook Elementary School,0.46
3060,Carmel Clay Schools,2508,Cherry Tree Elementary School,0.626
3060,Carmel Clay Schools,2509,Carmel Elementary School,0.552
3060,Carmel Clay Schools,2510,College Wood Elementary School,0.68
3060,Carmel Clay Schools,2511,Carmel Middle School,0.727
3060,Carmel Clay Schools,2512,Smoky Row Elementary School,0.629
3060,Carmel Clay Schools,2515,Prairie Trace Elementary School,0.66
3060,Carmel Clay Schools,2516,Mohawk Trails Elementary School,0.614
3060,Carmel Clay Schools,2518,Forest Dale Elementary School,0.66
3060,Carmel Clay Schools,2520,Creekside Middle School,0.791
3060,Carmel Clay Schools,2522,Towne Meadow Elementary School,0.721
3060,Carmel Clay Schools,2526,West Clay Elementary School,0.73
3060,Carmel Clay Schools,3071,Clay Center Elementary School,0.682
3070,Noblesville Schools,2521,Noblesville East Middle School,0.576
3070,Noblesville Schools,2523,Hinkle Creek Elementary School,0.554
3070,Noblesville Schools,2529,North Elementary School,0.556
3070,Noblesville Schools,2533,Stony Creek Elementary School,0.521
3070,Noblesville Schools,2537,Noble Crossing Elementary School,0.5
3070,Noblesville Schools,2538,Hazel Dell Elementary School,0.5
3070,Noblesville Schools,2539,Promise Road Elementary,0.425
3070,Noblesville Schools,2542,Noblesville West Middle School,0.611
3070,Noblesville Schools,2547,White River Elementary School,0.315
3115,Southern Hancock Co Com Sch Corp,2543,New Palestine Intermediate School,0.496
3115,Southern Hancock Co Com Sch Corp,2563,Brandywine Elementary School,0.587
3115,Southern Hancock Co Com Sch Corp,2564,New Palestine Elementary School,0.625
3115,Southern Hancock Co Com Sch Corp,2567,Sugar Creek Elementary Sch,0.426
3125,Greenfield-Central Com Schools,2577,Maxwell Intermediate School,0.466
3125,Greenfield-Central Com Schools,2593,Greenfield Intermediate School,0.447
3135,Mt Vernon Community School Corp,2558,Fortville Elementary School,0.469
3135,Mt Vernon Community School Corp,2559,Mt Vernon Middle School,0.454
3135,Mt Vernon Community School Corp,2561,Mt Comfort Elementary School,0.357
3135,Mt Vernon Community School Corp,2570,McCordsville Elementary School,0.411
3145,Eastern Hancock Co Com Sch Corp,2582,Eastern Hancock Middle School,0.323
3145,Eastern Hancock Co Com Sch Corp,2586,Eastern Hancock Elementary School,0.432
3160,Lanesville Community School Corp,2611,Lanesville Elementary School,0.566
3180,North Harrison Com School Corp,2621,Morgan Elementary School,0.362
3180,North Harrison Com School Corp,2625,North Harrison Middle School,0.457
3180,North Harrison Com School Corp,2633,North Harrison Elementary School,0.464
3190,South Harrison Com Schools,2649,New Middletown Elementary School,0.333
3190,South Harrison Com Schools,2653,Heth-Washington Elementary School,0.333
3190,South Harrison Com Schools,2663,Corydon Intermediate School,0.466
3190,South Harrison Com Schools,2667,South Central Elementary,0.493
3295,North West Hendricks Schools,2682,Tri-West Middle School,0.569
3295,North West Hendricks Schools,2685,North Salem Elementary School,0.639
3295,North West Hendricks Schools,2725,Pittsboro Elementary School,0.753
3305,Brownsburg Community School Corp,2706,Brown Elementary School,0.525
3305,Brownsburg Community School Corp,2711,Eagle Elementary School,0.657
3305,Brownsburg Community School Corp,2713,Brownsburg West Middle School,0.726
3305,Brownsburg Community School Corp,2714,Reagan Elementary School,0.618
3305,Brownsburg Community School Corp,2718,Delaware Trail Elementary School,0.557
3305,Brownsburg Community School Corp,2720,Brownsburg East Middle School,0.706
3305,Brownsburg Community School Corp,2723,White Lick Elementary School,0.69
3305,Brownsburg Community School Corp,2727,Cardinal Elementary School,0.619
3305,Brownsburg Community School Corp,2744,Lincoln Elementary School,0.545
3315,Avon Community School Corp,2726,River Birch Elementary School,0.52
3315,Avon Community School Corp,2728,Avon Intermediate School East,0.383
3315,Avon Community School Corp,2729,Avon Intermediate School West,0.422
3315,Avon Community School Corp,2730,Avon Middle School North,NA
3315,Avon Community School Corp,2733,Maple Elementary School,0.447
3315,Avon Community School Corp,2735,Sycamore Elementary School,0.453
3315,Avon Community School Corp,2738,Cedar Elementary School,0.378
3315,Avon Community School Corp,2739,Pine Tree Elementary School,0.548
3315,Avon Community School Corp,2740,Hickory Elementary School,0.462
3325,Danville Community School Corp,2743,Danville Middle School,0.427
3325,Danville Community School Corp,2745,South Elementary School,0.49
3330,Plainfield Community School Corp,2748,Clarks Creek Elementary,0.424
3330,Plainfield Community School Corp,2750,Plainfield Community Middle School,0.593
