stlmt_corp_name,stlmt_corp_id,nrl_schl_name,nrl_schl_id,yr,xfr_sqrt,clr,stlmt_lon,stlmt_lat,nrl_lat,nrl_lon,typ,tot_xfr,fillcolor,fname,weight,color,pct_of_xfr,log,minutes
West Noble School Corporation,6065,Union School Corporation,6795,2023,3,#0868ac,-85.58130880000002,41.4258661,40.0481017,-85.1251322,Public,9,#d95f02,6065-6795,0,NA,4.37,1.4747630091074988,135.23333333333332
Rising Sun-Ohio County Community,6080,Clarksville Community School Corporation,1000,2023,2,#0868ac,-84.8589718,38.9506056,38.302952,-85.76037,Public,4,#d95f02,6080-1000,0,NA,4.82,1.572773928062509,91.18333333333334
Rising Sun-Ohio County Community,6080,Union School Corporation,6795,2023,2.449489742783178,#0868ac,-84.8589718,38.9506056,40.0481017,-85.1251322,Public,6,#d95f02,6080-6795,0,NA,7.23,1.9782390361706736,127.46666666666667
Orleans Community Schools,6145,Clarksville Community School Corporation,1000,2023,1,#0868ac,-86.4545265,38.6687959,38.302952,-85.76037,Public,1,#d95f02,6145-1000,0,NA,0.96,-0.04082199452025516,71.21666666666667
Orleans Community Schools,6145,Union School Corporation,6795,2023,1.7320508075688772,#0868ac,-86.4545265,38.6687959,40.0481017,-85.1251322,Public,3,#d95f02,6145-6795,0,NA,2.88,1.0577902941478543,162.93333333333334
Paoli Community School Corporation,6155,Clarksville Community School Corporation,1000,2023,3.1622776601683795,#0868ac,-86.47770299999999,38.5513429,38.302952,-85.76037,Public,10,#d95f02,6155-1000,0,NA,5.41,1.6882490928583902,65.21666666666667
Paoli Community School Corporation,6155,Union School Corporation,6795,2023,2.23606797749979,#0868ac,-86.47770299999999,38.5513429,40.0481017,-85.1251322,Public,5,#d95f02,6155-6795,0,NA,2.7,0.9932517730102834,182.4
Springs Valley Community School Corporation,6160,Clarksville Community School Corporation,1000,2023,1.4142135623730951,#0868ac,-86.6169738,38.5489895,38.302952,-85.76037,Public,2,#d95f02,6160-1000,0,NA,2.82,1.0367368849500225,72.96666666666667
Springs Valley Community School Corporation,6160,Union School Corporation,6795,2023,2.23606797749979,#0868ac,-86.6169738,38.5489895,40.0481017,-85.1251322,Public,5,#d95f02,6160-6795,0,NA,7.04,1.951608170169951,193.11666666666667
Spencer-Owen Community Schools,6195,Clarksville Community School Corporation,1000,2023,3.872983346207417,#0868ac,-86.760184,39.290642,38.302952,-85.76037,Public,15,#d95f02,6195-1000,0,NA,3.16,1.1505720275988207,137.93333333333334
Spencer-Owen Community Schools,6195,Cloverdale Community Schools,6750,2023,2.6457513110645907,#0868ac,-86.760184,39.290642,39.5109654,-86.78998399999999,Public,7,#d95f02,6195-6750,0,NA,1.47,0.3852624007906449,28.8
Spencer-Owen Community Schools,6195,Union School Corporation,6795,2023,5.291502622129181,#0868ac,-86.760184,39.290642,40.0481017,-85.1251322,Public,28,#d95f02,6195-6795,0,NA,5.89,1.7732559976634952,142.26666666666668
Southwest Parke Community School Corporation,6260,Clarksville Community School Corporation,1000,2023,1,#0868ac,-87.3247317,39.6981319,38.302952,-85.76037,Public,1,#d95f02,6260-1000,0,NA,1.1,0.09531017980432492,175.93333333333334
Southwest Parke Community School Corporation,6260,Union School Corporation,6795,2023,2,#0868ac,-87.3247317,39.6981319,40.0481017,-85.1251322,Public,4,#d95f02,6260-6795,0,NA,4.4,1.4816045409242156,63.61666666666667
Perry Central Community Schools Corporation,6325,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-86.638032,38.079649,39.5109654,-86.78998399999999,Public,2,#d95f02,6325-6750,0,NA,1.65,0.5007752879124892,120.83333333333333
Perry Central Community Schools Corporation,6325,Union School Corporation,6795,2023,1.4142135623730951,#0868ac,-86.638032,38.079649,40.0481017,-85.1251322,Public,2,#d95f02,6325-6795,0,NA,1.65,0.5007752879124892,63.61666666666667
Cannelton City Schools,6340,Clarksville Community School Corporation,1000,2023,1,#0868ac,-86.7438865,37.9102913,38.302952,-85.76037,Public,1,#d95f02,6340-1000,0,NA,0.63,-0.4620354595965587,76.81666666666666
Cannelton City Schools,6340,Union School Corporation,6795,2023,1.7320508075688772,#0868ac,-86.7438865,37.9102913,40.0481017,-85.1251322,Public,3,#d95f02,6340-6795,0,NA,1.9,0.6418538861723947,233.25
Tell City-Troy Township School Corporation,6350,Clarksville Community School Corporation,1000,2023,1.4142135623730951,#0868ac,-86.74086,37.9609219,38.302952,-85.76037,Public,2,#d95f02,6350-1000,0,NA,0.5,-0.6931471805599453,73.21666666666667
Tell City-Troy Township School Corporation,6350,Union School Corporation,6795,2023,2,#0868ac,-86.74086,37.9609219,40.0481017,-85.1251322,Public,4,#d95f02,6350-6795,0,NA,1,0,229.63333333333333
North Central Parke Comm School Corporation,6375,Clarksville Community School Corporation,1000,2023,2.6457513110645907,#0868ac,-87.23421139999999,39.7679232,38.302952,-85.76037,Public,7,#d95f02,6375-1000,0,NA,5,1.6094379124341005,173.21666666666667
North Central Parke Comm School Corporation,6375,Union School Corporation,6795,2023,1.4142135623730951,#0868ac,-87.23421139999999,39.7679232,40.0481017,-85.1251322,Public,2,#d95f02,6375-6795,0,NA,1.43,0.3576744442718159,148.68333333333334
Pike County School Corporation,6445,Clarksville Community School Corporation,1000,2023,1.4142135623730951,#0868ac,-87.27593949999999,38.4919987,38.302952,-85.76037,Public,2,#d95f02,6445-1000,0,NA,0.65,-0.4307829160924542,102.85
Pike County School Corporation,6445,Cloverdale Community Schools,6750,2023,1,#0868ac,-87.27593949999999,38.4919987,39.5109654,-86.78998399999999,Public,1,#d95f02,6445-6750,0,NA,0.32,-1.1394342831883648,98.91666666666667
Pike County School Corporation,6445,Union School Corporation,6795,2023,3,#0868ac,-87.27593949999999,38.4919987,40.0481017,-85.1251322,Public,9,#d95f02,6445-6795,0,NA,2.91,1.0681530811834012,190.56666666666666
Metropolitan School District Boone Township,6460,Clarksville Community School Corporation,1000,2023,1.7320508075688772,#0868ac,-87.1977404,41.31646300000001,38.302952,-85.76037,Public,3,#d95f02,6460-1000,0,NA,3.75,1.3217558399823195,222.21666666666667
Metropolitan School District Boone Township,6460,Union School Corporation,6795,2023,3.4641016151377544,#0868ac,-87.1977404,41.31646300000001,40.0481017,-85.1251322,Public,12,#d95f02,6460-6795,0,NA,15,2.70805020110221,186.55
Duneland School Corporation,6470,Clarksville Community School Corporation,1000,2023,3.4641016151377544,#0868ac,-87.059963,41.6087847,38.302952,-85.76037,Public,12,#d95f02,6470-1000,0,NA,2.31,0.8372475245337022,246.06666666666666
Duneland School Corporation,6470,South Central Community School Corporation,4940,2023,3,#0868ac,-87.059963,41.6087847,41.4650155,-86.8162286,Public,9,#d95f02,6470-4940,0,NA,1.73,0.5481214085096876,27.216666666666665
Duneland School Corporation,6470,Union School Corporation,6795,2023,4.358898943540674,#0868ac,-87.059963,41.6087847,40.0481017,-85.1251322,Public,19,#d95f02,6470-6795,0,NA,3.66,1.297463147413275,202.68333333333334
East Porter County School Corporation,6510,Clarksville Community School Corporation,1000,2023,3,#0868ac,-87.0306651,41.31483559999999,38.302952,-85.76037,Public,9,#d95f02,6510-1000,0,NA,4.55,1.5151272329628591,234.21666666666667
East Porter County School Corporation,6510,South Central Community School Corporation,4940,2023,2.23606797749979,#0868ac,-87.0306651,41.31483559999999,41.4650155,-86.8162286,Public,5,#d95f02,6510-4940,0,NA,2.53,0.9282193027394288,24.55
East Porter County School Corporation,6510,Union School Corporation,6795,2023,3.605551275463989,#0868ac,-87.0306651,41.31483559999999,40.0481017,-85.1251322,Public,13,#d95f02,6510-6795,0,NA,6.57,1.8825138324965192,197.3
Porter Township School Corporation,6520,Clarksville Community School Corporation,1000,2023,2.23606797749979,#0868ac,-87.1620449,41.39866970000001,38.302952,-85.76037,Public,5,#d95f02,6520-1000,0,NA,4.31,1.4609379041156565,228.38333333333333
Porter Township School Corporation,6520,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-87.1620449,41.39866970000001,39.5109654,-86.78998399999999,Public,2,#d95f02,6520-6750,0,NA,1.72,0.5423242908253617,164.21666666666667
Porter Township School Corporation,6520,Union School Corporation,6795,2023,2.23606797749979,#0868ac,-87.1620449,41.39866970000001,40.0481017,-85.1251322,Public,5,#d95f02,6520-6795,0,NA,4.31,1.4609379041156565,192.71666666666667
Union Township School Corporation,6530,Clarksville Community School Corporation,1000,2023,2,#0868ac,-87.1802608,41.4788016,38.302952,-85.76037,Public,4,#d95f02,6530-1000,0,NA,4.35,1.4701758451005926,235.15
Union Township School Corporation,6530,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-87.1802608,41.4788016,39.5109654,-86.78998399999999,Public,2,#d95f02,6530-6750,0,NA,2.17,0.7747271675523681,170.98333333333332
