corp_id,corp_name,schl_id,schl_name,IREAD_pct
3445,New Castle Community School Corp,2861,Westwood Elementary School,0.806
3445,New Castle Community School Corp,2865,Wilbur Wright Elementary School,0.867
3455,C A Beard Memorial School Corp,2887,Knightstown Elementary School,0.928
3460,Taylor Community School Corp,2895,Taylor Elementary School,0.635
3470,Northwestern School Corp,2904,Northwestern Elementary School,0.942
3470,Northwestern School Corp,2905,Howard Elementary School,0.89
3480,Eastern Howard School Corporation,2909,Eastern Elementary School,0.843
3490,Western School Corporation,2923,Western Intermediate School,0.947
3500,Kokomo School Corporation,2943,Sycamore Elementary School,0.623
3500,Kokomo School Corporation,2947,Boulevard Elementary School,0.826
3500,Kokomo School Corporation,2961,Elwood Haynes Elementary School,0.53
3500,Kokomo School Corporation,2969,Lafayette Park Elementary School,0.8
3500,Kokomo School Corporation,2993,Pettit Park School,NA
3500,Kokomo School Corporation,3005,Wallace Elementary School,0.848
3625,Huntington Co Com Sch Corp,3021,Andrews Elementary School,0.845
3625,Huntington Co Com Sch Corp,3029,Roanoke Elementary School,0.828
3625,Huntington Co Com Sch Corp,3035,Salamonie Elementary School,0.921
3625,Huntington Co Com Sch Corp,3077,Flint Springs Elementary,0.863
3625,Huntington Co Com Sch Corp,3081,Lincoln Elementary School,0.79
3625,Huntington Co Com Sch Corp,3086,Horace Mann Elementary,0.776
3640,Medora Community School Corp,3095,Medora STEM Academy,NA
3675,Seymour Community Schools,3105,Cortland Elementary School,NA
3675,Seymour Community Schools,3135,Margaret R Brown Elementary School,0.535
3675,Seymour Community Schools,3141,Emerson Elementary School,0.77
3675,Seymour Community Schools,3153,Seymour-Jackson Elementary School,0.633
3675,Seymour Community Schools,3157,Seymour-Redding Elementary School,0.65
3695,Brownstown Cnt Com Sch Corp,3129,Brownstown Elementary School,0.832
3710,Crothersville Community Schools,3122,Crothersville Elementary School,0.736
3785,Kankakee Valley School Corp,3184,DeMotte Elementary School,0.901
3785,Kankakee Valley School Corp,3197,Wheatfield Elementary School,0.908
3815,Rensselaer Central School Corp,3205,Van Rensselaer Elementary School,0.874
3945,Jay School Corporation,3241,Bloomfield Elementary School,0.906
3945,Jay School Corporation,3247,Redkey Elementary School,0.873
3945,Jay School Corporation,3273,East Jay Elementary,0.779
3945,Jay School Corporation,3289,West Jay Elementary,NA
3995,Madison Consolidated Schools,3301,Deputy Elementary School,NA
3995,Madison Consolidated Schools,3321,Rykers' Ridge Elementary School,0.768
3995,Madison Consolidated Schools,3329,Lydia Middleton Elementary School,0.868
3995,Madison Consolidated Schools,3333,Anderson Elementary School,0.713
4000,Southwestern-Jefferson Co Con,3341,Southwestern Elementary School,0.837
4015,Jennings County School Corporation,3349,Sand Creek Elementary School,NA
4015,Jennings County School Corporation,3357,Scipio Elementary School,0.821
4015,Jennings County School Corporation,3361,Graham Creek Elementary School,1
4015,Jennings County School Corporation,3385,Hayden Elementary School,0.799
4015,Jennings County School Corporation,3389,Brush Creek Elementary School,0.79
4015,Jennings County School Corporation,3397,North Vernon Elementary School,0.855
4145,Clark-Pleasant Community Sch Corp,3401,Clark Elementary School,0.863
4145,Clark-Pleasant Community Sch Corp,3422,Grassy Creek Elementary School,0.825
4145,Clark-Pleasant Community Sch Corp,3425,Whiteland Elementary School,0.819
4145,Clark-Pleasant Community Sch Corp,3429,Break-O-Day Elementary School,0.914
4145,Clark-Pleasant Community Sch Corp,3430,Pleasant Crossing Elementary,0.826
4145,Clark-Pleasant Community Sch Corp,4172,Ray Crowe Elementary,0.793
4205,Center Grove Community School Corp,3434,Sugar Grove Elementary School,0.88
4205,Center Grove Community School Corp,3435,Center Grove Elementary School,0.937
4205,Center Grove Community School Corp,3438,Walnut Grove Elementary School,0.792
4205,Center Grove Community School Corp,3439,Maple Grove Elementary School,0.856
4205,Center Grove Community School Corp,3440,North Grove Elementary School,0.862
