corp_id,corp_name,schl_id,schl_name,ela_prof_pct
2825,Madison-Grant United School Corp,2329,Park Elementary School,0.352
2825,Madison-Grant United School Corp,2834,Virtual Preparatory Academy of Indiana at Madison-Grant K-5,0.091
2825,Madison-Grant United School Corp,2836,Virtual Preparatory Academy of Indiana at Madison-Grant 6-8,0.129
2855,Mississinewa Community School Corp,2335,R J Baskett Middle School,0.251
2855,Mississinewa Community School Corp,2346,Northview Elementary School,0.326
2865,Marion Community Schools,2350,Justice Thurgood Marshall Intrmd,0.212
2865,Marion Community Schools,2357,John L McCulloch Junior High Sch,0.202
2865,Marion Community Schools,2369,Allen Elementary School,0.197
2865,Marion Community Schools,2393,John W Kendall Elem School,0.23
2865,Marion Community Schools,2405,Riverview Elementary School,0.221
2865,Marion Community Schools,2409,Frances Slocum Elem School,0.194
2920,Bloomfield School District,2417,Bloomfield Elementary School,0.396
2920,Bloomfield School District,2421,Bloomfield Middle School,0.285
2940,Eastern Greene Schools,2433,Eastern Greene Elementary School,0.247
2940,Eastern Greene Schools,2436,Eastern Greene Middle School,0.351
2950,Linton-Stockton School Corporation,2438,Linton-Stockton Middle School,0.397
2950,Linton-Stockton School Corporation,2441,Linton-Stockton Elementary,0.523
2960,MSD Shakamak Schools,2445,Shakamak Jr-Sr High School,0.248
2960,MSD Shakamak Schools,2449,Shakamak Elementary School,0.346
2980,White River Valley School District,2457,White River Valley Middle School,0.356
2980,White River Valley School District,2460,White River Valley Elementary Sch,0.459
3005,Hamilton Southeastern Schools,2464,Deer Creek Elementary,0.386
3005,Hamilton Southeastern Schools,2466,Brooks School Elementary,0.65
3005,Hamilton Southeastern Schools,2468,New Britton Elementary School,0.571
3005,Hamilton Southeastern Schools,2469,Fishers Elementary School,0.533
3005,Hamilton Southeastern Schools,2470,Cumberland Road Elem School,0.638
3005,Hamilton Southeastern Schools,2471,Hoosier Road Elementary School,0.527
3005,Hamilton Southeastern Schools,2473,Fall Creek Elementary School,0.698
3005,Hamilton Southeastern Schools,2474,Geist Elementary School,0.669
3005,Hamilton Southeastern Schools,2475,Lantern Road Elementary School,0.612
3005,Hamilton Southeastern Schools,2476,Fishers Junior High School,0.546
3005,Hamilton Southeastern Schools,2479,Sand Creek Intermediate School,0.477
3005,Hamilton Southeastern Schools,2481,Harrison Parkway Elementary School,0.644
3005,Hamilton Southeastern Schools,2482,Sand Creek Elementary,0.49
3005,Hamilton Southeastern Schools,2483,Thorpe Creek Elementary,0.695
3005,Hamilton Southeastern Schools,2484,Southeastern Elementary School,0.604
3005,Hamilton Southeastern Schools,2485,Fall Creek Intermediate School,0.606
3005,Hamilton Southeastern Schools,2486,Fall Creek Junior High,0.629
3005,Hamilton Southeastern Schools,2489,Hamilton SE Int and Jr High Sch,0.631
3005,Hamilton Southeastern Schools,2490,Riverside Junior High,0.585
3005,Hamilton Southeastern Schools,2500,Riverside Intermediate School,0.619
3025,Hamilton Heights School Corp,2478,Hamilton Heights Elementary School,0.416
3025,Hamilton Heights School Corp,2501,Hamilton Heights Middle School,0.519
3030,Westfield-Washington Schools,2491,Westfield Middle School,0.615
3030,Westfield-Washington Schools,2492,Shamrock Springs Elementary School,0.603
3030,Westfield-Washington Schools,2494,Carey Ridge Elementary School,0.644
3030,Westfield-Washington Schools,2495,Washington Woods Elementary School,0.559
3030,Westfield-Washington Schools,2496,Oak Trace Elementary School,0.761
3030,Westfield-Washington Schools,2498,Monon Trail Elementary School,0.543
3030,Westfield-Washington Schools,2503,Westfield Intermediate School,0.566
3030,Westfield-Washington Schools,2504,Maple Glen Elementary,0.603
3055,Sheridan Community Schools,2465,Sheridan Elementary School,0.465
3055,Sheridan Community Schools,6780,Sheridan Middle School,0.474
3060,Carmel Clay Schools,2506,Clay Middle School,0.637
3060,Carmel Clay Schools,2507,Woodbrook Elementary School,0.578
3060,Carmel Clay Schools,2508,Cherry Tree Elementary School,0.656
3060,Carmel Clay Schools,2509,Carmel Elementary School,0.571
3060,Carmel Clay Schools,2510,College Wood Elementary School,0.774
3060,Carmel Clay Schools,2511,Carmel Middle School,0.643
3060,Carmel Clay Schools,2512,Smoky Row Elementary School,0.713
3060,Carmel Clay Schools,2515,Prairie Trace Elementary School,0.764
3060,Carmel Clay Schools,2516,Mohawk Trails Elementary School,0.607
3060,Carmel Clay Schools,2518,Forest Dale Elementary School,0.571
3060,Carmel Clay Schools,2520,Creekside Middle School,0.813
3060,Carmel Clay Schools,2522,Towne Meadow Elementary School,0.688
3060,Carmel Clay Schools,2526,West Clay Elementary School,0.78
